CITY,TIMEZONE,YEAR,STR_SWH,STR_EWH,STR_TOTAL_WORKINDARK
IGDIR,  3.0,2025,08:00:00,17:00:00,17:07:00 
IGDIR,  3.0,2026,08:00:00,17:00:00,17:07:00 
IGDIR,  3.0,2024,08:30:00,17:30:00,65:54:00 
IGDIR,  3.0,2025,08:30:00,17:30:00,65:10:00 
IGDIR,  3.0,2026,08:30:00,17:30:00,65:10:00 
IGDIR,  3.0,2024,09:00:00,18:00:00,137:10:00
IGDIR,  3.0,2025,09:00:00,18:00:00,135:55:00
IGDIR,  3.0,2026,09:00:00,18:00:00,135:56:00
AYDIN,  2.0,2024,07:00:00,16:00:00,20:55:00 
AYDIN,  2.0,2025,07:00:00,16:00:00,20:36:00 
AYDIN,  2.0,2026,07:00:00,16:00:00,20:33:00 
AYDIN,  2.0,2024,07:30:00,16:30:00,0:00:00  
AYDIN,  2.0,2025,07:30:00,16:30:00,0:00:00  
AYDIN,  2.0,2026,07:30:00,16:30:00,0:00:00  
AYDIN,  2.0,2024,08:00:00,17:00:00,6:24:59  
AYDIN,  2.0,2025,08:00:00,17:00:00,6:23:59  
AYDIN,  2.0,2026,08:00:00,17:00:00,6:24:59  
AYDIN,  2.0,2024,08:30:00,17:30:00,47:24:59 
AYDIN,  2.0,2025,08:30:00,17:30:00,46:59:59 
AYDIN,  2.0,2026,08:30:00,17:30:00,47:02:59 
AYDIN,  2.0,2024,09:00:00,18:00:00,113:28:59
AYDIN,  2.0,2025,09:00:00,18:00:00,112:29:59
AYDIN,  2.0,2026,09:00:00,18:00:00,112:34:59
AYDIN,  2.5,2024,07:00:00,16:00:00,73:59:00 
AYDIN,  2.5,2025,07:00:00,16:00:00,73:07:00 
AYDIN,  2.5,2026,07:00:00,16:00:00,73:00:00 
AYDIN,  2.5,2024,07:30:00,16:30:00,20:55:00 
AYDIN,  2.5,2025,07:30:00,16:30:00,20:36:00 
AYDIN,  2.5,2026,07:30:00,16:30:00,20:33:00 
AYDIN,  2.5,2024,08:00:00,17:00:00,0:00:00  
AYDIN,  2.5,2025,08:00:00,17:00:00,0:00:00  
AYDIN,  2.5,2026,08:00:00,17:00:00,0:00:00  
AYDIN,  2.5,2024,08:30:00,17:30:00,6:24:59  
AYDIN,  2.5,2025,08:30:00,17:30:00,6:23:59  
AYDIN,  2.5,2026,08:30:00,17:30:00,6:24:59  
AYDIN,  2.5,2024,09:00:00,18:00:00,47:24:59 
AYDIN,  2.5,2025,09:00:00,18:00:00,46:59:59 
AYDIN,  2.5,2026,09:00:00,18:00:00,47:02:59 
AYDIN,  3.0,2024,07:00:00,16:00:00,152:11:59
AYDIN,  3.0,2025,07:00:00,16:00:00,150:49:59
AYDIN,  3.0,2026,07:00:00,16:00:00,150:47:59
AYDIN,  3.0,2024,07:30:00,16:30:00,73:58:59 
AYDIN,  3.0,2025,07:30:00,16:30:00,73:06:59 
AYDIN,  3.0,2026,07:30:00,16:30:00,72:59:59 
AYDIN,  3.0,2024,08:00:00,17:00:00,20:54:59 
AYDIN,  3.0,2025,08:00:00,17:00:00,20:35:59 
AYDIN,  3.0,2026,08:00:00,17:00:00,20:32:59 
AYDIN,  3.0,2024,08:30:00,17:30:00,0:00:00  
AYDIN,  3.0,2025,08:30:00,17:30:00,0:00:00  
AYDIN,  3.0,2026,08:30:00,17:30:00,0:00:00  
AYDIN,  3.0,2024,09:00:00,18:00:00,6:24:59  
AYDIN,  3.0,2025,09:00:00,18:00:00,6:23:59  
AYDIN,  3.0,2026,09:00:00,18:00:00,6:24:59  
IZMIR,  2.0,2024,07:00:00,16:00:00,26:48:59 
IZMIR,  2.0,2025,07:00:00,16:00:00,26:26:59 
IZMIR,  2.0,2026,07:00:00,16:00:00,26:31:59 
IZMIR,  2.0,2024,07:30:00,16:30:00,0:00:00  
IZMIR,  2.0,2025,07:30:00,16:30:00,0:00:00  
IZMIR,  2.0,2026,07:30:00,16:30:00,0:00:00  
IZMIR,  2.0,2024,08:00:00,17:00:00,5:21:59  
IZMIR,  2.0,2025,08:00:00,17:00:00,5:21:59  
IZMIR,  2.0,2026,08:00:00,17:00:00,5:18:59  
IZMIR,  2.0,2024,08:30:00,17:30:00,44:57:59 
IZMIR,  2.0,2025,08:30:00,17:30:00,44:21:59 
IZMIR,  2.0,2026,08:30:00,17:30:00,44:22:59 
IZMIR,  2.0,2024,09:00:00,18:00:00,109:15:59
IZMIR,  2.0,2025,09:00:00,18:00:00,108:07:59
IZMIR,  2.0,2026,09:00:00,18:00:00,108:10:59
IZMIR,  2.5,2024,07:00:00,16:00:00,82:58:59 
IZMIR,  2.5,2025,07:00:00,16:00:00,82:05:59 
IZMIR,  2.5,2026,07:00:00,16:00:00,82:11:59 
IZMIR,  2.5,2024,07:30:00,16:30:00,26:48:59 
IZMIR,  2.5,2025,07:30:00,16:30:00,26:26:59 
IZMIR,  2.5,2026,07:30:00,16:30:00,26:31:59 
IZMIR,  2.5,2024,08:00:00,17:00:00,0:00:00  
IZMIR,  2.5,2025,08:00:00,17:00:00,0:00:00  
IZMIR,  2.5,2026,08:00:00,17:00:00,0:00:00  
IZMIR,  2.5,2024,08:30:00,17:30:00,5:21:59  
IZMIR,  2.5,2025,08:30:00,17:30:00,5:21:59  
IZMIR,  2.5,2026,08:30:00,17:30:00,5:18:59  
IZMIR,  2.5,2024,09:00:00,18:00:00,44:57:59 
IZMIR,  2.5,2025,09:00:00,18:00:00,44:21:59 
IZMIR,  2.5,2026,09:00:00,18:00:00,44:22:59 
IZMIR,  3.0,2024,07:00:00,16:00:00,163:55:59
IZMIR,  3.0,2025,07:00:00,16:00:00,162:35:59
